"BewohnerID","Bist du zufrieden mit Somerville?","Wie bewertest du: Die Verfügbarkeit von Informationen über die Dienste der Stadt?","Wie bewertest du: Die Lebenshaltungskosten?","Wie bewertest du: Die Qualität der öffentlichen Schulen?","Wie bewertest du: Dein Vertrauen in die lokale Polizei?","Wie bewertest du: Den Zustand von Straßen und Fußgängerwegen","Wie bewertest du: Die Verfügbarkeit von Events in der Stadt","Geschlecht","Alter","Beschreibe deinen Besitzstatus für deine Behausung","Wie sicher fühlst du dich beim Überqueren einer Straße in Somerville?","Wie zufrieden bist du mit dem Zustand deiner Behausung?","Geschlecht_weiblich","Eigenheim_numerisch","Alter_numerisch","Zufriedenheit_string"
9562,"1",3,4,5,5,3,5,"Weiblich","25-34","Ich miete",4,9,1,0,30,"Zufrieden"
9563,"0",3,1,2,1,2,3,"Weiblich","65-74","Ich miete",1,6,1,0,70,"Unzufrieden"
9564,"1",5,2,4,4,4,4,"Männlich","25-34","Ich miete",7,8,0,0,30,"Zufrieden"
9565,"0",2,2,4,4,3,2,"Männlich","55-64","Ich besitze",8,3,0,1,60,"Unzufrieden"
9566,"0",4,1,1,5,3,1,"Männlich","65-74","Ich miete",6,9,0,0,70,"Unzufrieden"
9567,"0",2,2,3,4,3,2,"Weiblich","65-74","Ich besitze",8,5,1,1,70,"Unzufrieden"
9568,"0",4,3,3,3,2,3,"Weiblich","65-74","Ich besitze",6,9,1,1,70,"Unzufrieden"
9569,"0",4,1,3,3,3,3,"Weiblich","65-74","Ich besitze",1,8,1,1,70,"Unzufrieden"
9570,"1",5,5,5,5,5,5,"Weiblich","75+","Ich besitze",10,10,1,1,80,"Zufrieden"
9571,"1",5,2,3,4,2,4,"Weiblich","45-54","Ich besitze",9,8,1,1,50,"Zufrieden"
9572,"1",4,1,4,4,3,5,"Männlich","55-64","Ich miete",5,6,0,0,60,"Zufrieden"
9573,"1",3,2,3,1,4,3,"Weiblich","18-24","Ich miete",8,8,1,0,20,"Zufrieden"
9574,"0",3,1,3,3,2,1,"Weiblich","35-44","Ich besitze",1,6,1,1,40,"Unzufrieden"
9576,"0",3,1,3,3,2,3,"Weiblich","45-54","Ich miete",7,1,1,0,50,"Unzufrieden"
9577,"1",5,1,5,5,5,5,"Weiblich","35-44","Ich miete",9,5,1,0,40,"Zufrieden"
9578,"0",4,2,3,3,2,2,"Weiblich","35-44","Ich miete",8,6,1,0,40,"Unzufrieden"
9579,"0",4,2,3,2,4,4,"Weiblich","45-54","Ich miete",8,7,1,0,50,"Unzufrieden"
9580,"1",3,2,3,2,4,3,"Männlich","45-54","Ich besitze",6,10,0,1,50,"Zufrieden"
9581,"1",4,3,4,3,2,3,"Männlich","25-34","Ich besitze",4,7,0,1,30,"Zufrieden"
9582,"1",5,3,4,4,5,5,"Männlich","65-74","Ich besitze",10,10,0,1,70,"Zufrieden"
9583,"0",4,1,3,2,3,3,"Weiblich","35-44","Ich miete",1,3,1,0,40,"Unzufrieden"
9584,"1",4,3,3,3,4,2,"Männlich","25-34","Ich miete",8,9,0,0,30,"Zufrieden"
9585,"1",5,1,4,2,3,4,"Weiblich","35-44","Ich besitze",7,8,1,1,40,"Zufrieden"
9586,"1",4,1,3,3,4,5,"Männlich","35-44","Ich miete",8,8,0,0,40,"Zufrieden"
9587,"1",5,1,3,3,3,4,"Weiblich","55-64","Ich besitze",4,7,1,1,60,"Zufrieden"
9588,"1",5,3,3,3,4,5,,"35-44","Ich besitze",2,5,1,1,40,"Zufrieden"
9589,"0",5,1,3,3,4,4,"Männlich","25-34","Ich miete",6,4,0,0,30,"Unzufrieden"
9590,"1",3,5,3,4,5,5,"Männlich","25-34","Ich miete",10,8,0,0,30,"Zufrieden"
9591,"1",4,2,3,2,3,3,"Männlich","35-44","Ich miete",7,8,0,0,40,"Zufrieden"
9592,"0",2,1,4,3,1,2,"Weiblich","55-64","Ich besitze",1,4,1,1,60,"Unzufrieden"
9593,"1",4,1,2,5,3,3,"Männlich","55-64","Ich miete",8,9,0,0,60,"Zufrieden"
9594,"1",4,3,3,3,2,5,"Weiblich","35-44","Ich besitze",5,10,1,1,40,"Zufrieden"
9595,"1",5,2,3,4,4,3,"Männlich","45-54","Ich besitze",10,9,0,1,50,"Zufrieden"
9596,"1",5,3,4,3,3,4,"Männlich","35-44","Ich besitze",7,8,0,1,40,"Zufrieden"
9597,"1",4,3,3,3,3,1,"Weiblich","18-24","Ich miete",4,6,1,0,20,"Zufrieden"
9598,"0",3,2,3,1,2,5,"Männlich","25-34","Ich miete",1,6,0,0,30,"Unzufrieden"
9599,"0",4,3,4,4,2,3,"Männlich","65-74","Ich besitze",9,10,0,1,70,"Unzufrieden"
9600,"0",3,1,1,1,5,3,"Weiblich","25-34","Ich miete",10,1,1,0,30,"Unzufrieden"
9601,"0",1,2,2,2,2,1,"Männlich","25-34","Ich miete",4,7,0,0,30,"Unzufrieden"
9602,"1",5,2,3,4,4,5,"Weiblich","35-44","Ich miete",2,5,1,0,40,"Zufrieden"
9603,"1",3,1,3,3,2,4,"Männlich","25-34","Ich miete",8,3,0,0,30,"Zufrieden"
9604,"1",4,4,5,5,5,5,"Weiblich","75+","Ich besitze",8,10,1,1,80,"Zufrieden"
9605,"0",3,3,4,5,2,3,"Weiblich","55-64","Ich miete",6,7,1,0,60,"Unzufrieden"
9606,"1",4,5,3,5,2,3,"Weiblich","55-64","Ich miete",7,6,1,0,60,"Zufrieden"
9607,"1",5,4,5,5,5,5,"Weiblich","65-74","Ich besitze",10,8,1,1,70,"Zufrieden"
9608,"1",4,2,3,4,4,3,"Weiblich","25-34","Ich miete",8,9,1,0,30,"Zufrieden"
9609,"1",5,2,3,3,3,3,"Weiblich","55-64","Ich miete",8,9,1,0,60,"Zufrieden"
9610,"1",4,1,2,3,3,4,"Weiblich","45-54","Ich besitze",8,8,1,1,50,"Zufrieden"
9611,"0",3,1,3,3,3,4,"Männlich","55-64","Ich besitze",8,7,0,1,60,"Unzufrieden"
9612,"1",4,2,3,2,1,4,"Weiblich","25-34","Ich miete",5,9,1,0,30,"Zufrieden"
9613,"1",5,1,3,4,3,4,"Männlich","25-34","Ich besitze",7,9,0,1,30,"Zufrieden"
9614,"0",5,1,3,2,4,4,"Weiblich",,"Ich miete",4,4,1,0,40,"Unzufrieden"
9615,"0",5,4,3,3,3,3,"Weiblich","35-44","Ich miete",6,10,1,0,40,"Unzufrieden"
9616,"1",4,2,4,3,4,5,"Weiblich","17 oder jünger","Ich besitze",6,8,1,1,10,"Zufrieden"
9617,"1",5,3,4,5,4,5,"Weiblich","55-64","Ich besitze",6,7,1,1,60,"Zufrieden"
9618,"1",4,3,3,3,4,4,"Männlich","25-34","Ich miete",9,8,0,0,30,"Zufrieden"
9619,"1",4,2,3,3,3,4,"Weiblich","35-44","Ich miete",8,7,1,0,40,"Zufrieden"
9620,"0",3,1,3,3,1,2,"Männlich","25-34","Ich miete",1,8,0,0,30,"Unzufrieden"
9621,"0",4,2,4,4,5,4,"Männlich","35-44","Ich miete",8,7,0,0,40,"Unzufrieden"
9623,"1",4,2,3,1,2,4,"Männlich","25-34","Ich miete",9,9,0,0,30,"Zufrieden"
9624,"1",5,3,3,3,5,5,"Männlich","75+","Ich besitze",5,10,0,1,80,"Zufrieden"
9625,"1",5,2,3,3,4,4,"Weiblich","55-64","Ich besitze",7,10,1,1,60,"Zufrieden"
9626,"1",4,2,4,5,2,3,"Männlich","18-24","Ich besitze",9,9,0,1,20,"Zufrieden"
9627,"1",4,3,5,4,4,4,"Weiblich","35-44","Ich besitze",10,9,1,1,40,"Zufrieden"
9628,"1",5,2,3,3,4,4,"Weiblich","25-34","Ich miete",7,8,1,0,30,"Zufrieden"
9629,"1",5,3,5,3,5,5,"Weiblich","25-34","Ich miete",8,7,1,0,30,"Zufrieden"
9630,"1",4,3,3,3,2,4,"Weiblich","65-74","Ich besitze",6,6,1,1,70,"Zufrieden"
9631,"1",3,1,4,3,3,3,"Weiblich","45-54","Ich besitze",5,8,1,1,50,"Zufrieden"
9633,"1",4,3,2,5,4,2,"Weiblich","75+","Ich besitze",8,8,1,1,80,"Zufrieden"
9634,"0",4,3,4,3,2,5,"Weiblich","65-74","Ich besitze",5,9,1,1,70,"Unzufrieden"
9635,"1",3,2,5,3,2,2,"Weiblich","18-24","Ich miete",9,5,1,0,20,"Zufrieden"
9636,"1",3,2,3,2,5,3,"Weiblich","25-34","Ich miete",9,7,1,0,30,"Zufrieden"
9637,"1",5,2,3,4,1,4,"Weiblich","35-44","Ich miete",8,8,1,0,40,"Zufrieden"
9638,"0",4,2,3,3,2,3,"Weiblich","25-34","Ich miete",8,8,1,0,30,"Unzufrieden"
9639,"1",4,2,3,4,4,4,"Weiblich","45-54","Ich besitze",8,10,1,1,50,"Zufrieden"
9640,"1",4,2,3,3,4,4,"Weiblich","25-34","Ich miete",9,8,1,0,30,"Zufrieden"
9641,"0",5,1,3,3,3,3,"Weiblich","35-44","Ich miete",7,2,1,0,40,"Unzufrieden"
9642,"1",5,2,3,3,4,5,"Weiblich","25-34","Ich miete",5,7,1,0,30,"Zufrieden"
9643,"0",3,1,3,2,4,3,"Männlich","35-44","Ich miete",2,3,0,0,40,"Unzufrieden"
9644,"0",3,3,4,2,1,3,"Weiblich","65-74","Ich besitze",6,9,1,1,70,"Unzufrieden"
9645,"1",3,2,3,2,1,2,"Männlich","18-24","Ich miete",9,9,0,0,20,"Zufrieden"
9646,"1",5,3,4,5,4,4,"Männlich","35-44","Ich miete",10,9,0,0,40,"Zufrieden"
9647,"1",3,1,3,5,3,1,"Weiblich","75+","Ich besitze",3,10,1,1,80,"Zufrieden"
9648,"0",4,1,3,2,2,3,"Weiblich","25-34","Ich miete",3,7,1,0,30,"Unzufrieden"
9649,"0",4,1,3,3,2,3,"Männlich","25-34","Ich miete",8,4,0,0,30,"Unzufrieden"
9650,"0",4,2,3,4,2,2,"Männlich","55-64","Ich besitze",2,9,0,1,60,"Unzufrieden"
9651,"1",4,2,3,2,3,4,"Multiple people","25-34","Ich miete",8,7,1,0,30,"Zufrieden"
9652,"1",3,1,3,1,3,3,"Weiblich","35-44","Ich miete",3,9,1,0,40,"Zufrieden"
9653,"1",5,5,5,5,5,5,"Weiblich","75+","Ich miete",10,10,1,0,80,"Zufrieden"
9654,"1",5,2,3,3,3,5,"Männlich","65-74","Ich besitze",9,10,0,1,70,"Zufrieden"
9655,"0",5,3,3,3,4,1,"Männlich","25-34","Ich miete",9,10,0,0,30,"Unzufrieden"
9656,"1",4,4,1,3,4,4,"Männlich","18-24","Ich miete",10,8,0,0,20,"Zufrieden"
9657,"1",5,4,5,5,5,5,"Männlich","35-44","Ich besitze",2,10,0,1,40,"Zufrieden"
9658,"0",4,3,3,5,4,5,"Weiblich","65-74","Ich besitze",10,10,1,1,70,"Unzufrieden"
9659,"1",3,4,2,2,1,1,"Männlich","25-34","Ich miete",9,5,0,0,30,"Zufrieden"
9661,"0",4,3,3,3,3,3,"Weiblich","35-44","Ich besitze",8,9,1,1,40,"Unzufrieden"
9662,"0",5,1,3,3,3,3,"Weiblich","55-64","Ich besitze",6,9,1,1,60,"Unzufrieden"
9663,"1",4,3,3,1,2,3,"Männlich","25-34","Ich miete",3,8,0,0,30,"Zufrieden"
9664,"0",4,2,4,4,5,5,"Weiblich","35-44","Ich besitze",6,10,1,1,40,"Unzufrieden"
9665,"0",3,1,3,4,2,1,"Männlich","25-34","Ich miete",9,8,0,0,30,"Unzufrieden"
9666,"1",5,2,3,1,4,5,"Männlich","35-44","Ich besitze",9,9,0,1,40,"Zufrieden"
9667,"0",5,3,3,4,3,4,"Männlich","45-54","Ich besitze",5,8,0,1,50,"Unzufrieden"
9668,"1",4,2,4,4,4,3,"Männlich","25-34","Ich miete",9,9,0,0,30,"Zufrieden"
9669,"1",5,5,5,5,3,3,,"25-34","Ich miete",10,10,1,0,30,"Zufrieden"
9671,"1",4,3,3,2,3,3,"Männlich","25-34","Ich miete",8,7,0,0,30,"Zufrieden"
9672,"1",4,3,4,4,4,5,"Weiblich","55-64","Ich besitze",9,8,1,1,60,"Zufrieden"
9673,"1",5,2,3,3,2,3,"Weiblich","35-44","Ich besitze",7,8,1,1,40,"Zufrieden"
9674,"1",4,2,3,2,4,4,"Weiblich","25-34","Ich miete",9,5,1,0,30,"Zufrieden"
9675,"0",5,1,4,3,4,4,"Männlich","45-54","Ich miete",8,7,0,0,50,"Unzufrieden"
9676,"0",4,1,3,3,2,5,"Weiblich","35-44","Ich miete",8,9,1,0,40,"Unzufrieden"
9678,"1",5,3,3,4,2,5,"Männlich","45-54","Ich besitze",6,10,0,1,50,"Zufrieden"
9679,"0",3,1,3,5,1,3,"Weiblich","55-64","Ich besitze",1,5,1,1,60,"Unzufrieden"
9680,"0",5,2,3,2,4,4,"Weiblich","25-34","Ich miete",8,8,1,0,30,"Unzufrieden"
9681,"0",4,1,3,3,4,3,"Weiblich","45-54","Ich miete",3,3,1,0,50,"Unzufrieden"
9682,"0",2,2,3,3,3,3,"Männlich","55-64","Ich besitze",3,6,0,1,60,"Unzufrieden"
9683,"1",4,4,4,5,4,4,"Männlich","65-74","Ich besitze",9,9,0,1,70,"Zufrieden"
9684,"0",5,2,3,3,3,4,"Männlich","25-34","Ich miete",8,9,0,0,30,"Unzufrieden"
9685,"0",5,4,2,2,4,5,"Weiblich","55-64",,3,5,1,0,60,"Unzufrieden"
9686,"0",4,1,3,3,1,5,"Weiblich","25-34","Ich miete",9,5,1,0,30,"Unzufrieden"
9687,"1",4,2,3,4,2,3,"Männlich","25-34","Ich besitze",6,9,0,1,30,"Zufrieden"
9689,"1",3,2,3,3,3,3,"Weiblich","25-34","Ich besitze",4,9,1,1,30,"Zufrieden"
9690,"1",5,1,3,5,1,5,"Männlich","45-54","Ich miete",1,2,0,0,50,"Zufrieden"
9691,"0",3,1,3,1,1,3,"Männlich","35-44","Ich miete",3,7,0,0,40,"Unzufrieden"
9692,"0",4,1,3,4,3,4,"Weiblich","45-54",,4,6,1,0,50,"Unzufrieden"
9693,"1",4,2,3,5,4,5,"Weiblich","45-54","Ich besitze",7,8,1,1,50,"Zufrieden"
9694,"0",3,3,3,3,2,4,"Weiblich","35-44","Ich besitze",5,10,1,1,40,"Unzufrieden"
9695,"1",4,2,3,5,3,5,"Weiblich","55-64","Ich besitze",8,10,1,1,60,"Zufrieden"
9696,"1",5,1,3,4,3,4,"Weiblich","25-34","Ich miete",10,6,1,0,30,"Zufrieden"
9697,"1",4,2,3,3,3,5,"Weiblich","25-34","Ich besitze",8,10,1,1,30,"Zufrieden"
9698,"1",5,3,4,4,5,5,"Weiblich","55-64","Ich besitze",4,9,1,1,60,"Zufrieden"
9699,"1",4,1,3,2,4,5,"Weiblich","35-44","Ich besitze",7,8,1,1,40,"Zufrieden"
9700,"0",4,2,2,3,3,3,"Weiblich","55-64","Ich besitze",8,5,1,1,60,"Unzufrieden"
9701,"0",2,3,3,3,1,2,"Männlich","55-64","Ich besitze",8,6,0,1,60,"Unzufrieden"
9702,"1",4,1,2,4,4,5,"Weiblich","35-44","Ich besitze",7,6,1,1,40,"Zufrieden"
9703,"1",4,3,4,4,4,4,"Männlich","65-74","Ich miete",8,7,0,0,70,"Zufrieden"
9704,"0",3,3,4,4,3,3,"Männlich","65-74","Ich miete",4,4,0,0,70,"Unzufrieden"
9705,"1",4,3,3,3,3,4,"Weiblich","45-54","Ich besitze",5,9,1,1,50,"Zufrieden"
9706,"0",1,1,3,4,1,2,"Männlich","45-54","Ich besitze",5,4,0,1,50,"Unzufrieden"
9708,"1",5,3,4,4,2,3,"Männlich","55-64","Ich besitze",7,9,0,1,60,"Zufrieden"
